match_link,match_link/_text,match_link/_title,date_value,tournament_link,tournament_link/_text,tournament_link/_title,radiant_link,radiant_link/_text,radiant_link/_title,dire_link,dire_link/_text,dire_link/_title,winner_value,round_value,game_number,time_number,score_number
"http://www.datdota.com/match.php?q=2196501846","2196501846","","03/04/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=376&team=Alliance","Alliance","","http://www.datdota.com/team.php?q=1422&team=coL%202","coL 2","","DIRE","","","46.42","24; -29"
"http://www.datdota.com/match.php?q=2196306427","2196306427","","03/04/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=376&team=Alliance","Alliance","","http://www.datdota.com/team.php?q=1422&team=coL%202","coL 2","","DIRE","","","44.43","14; -24"
"http://www.datdota.com/match.php?q=2196139871","2196139871","","03/04/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=376&team=Alliance","Alliance","","http://www.datdota.com/team.php?q=1422&team=coL%202","coL 2","","RADIANT","","","50.8","35; -18"
"http://www.datdota.com/match.php?q=2193658590","2193658590","","03/03/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=2&team=EHOME","EHOME","","http://www.datdota.com/team.php?q=376&team=Alliance","Alliance","","DIRE","","","54.78","17; -32"
"http://www.datdota.com/match.php?q=2191243186","2191243186","","03/01/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=225&team=Liquid","Liquid","","http://www.datdota.com/team.php?q=376&team=Alliance","Alliance","","RADIANT","","","44.7","33; -15"
"http://www.datdota.com/match.php?q=2191144529","2191144529","","03/01/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=225&team=Liquid","Liquid","","http://www.datdota.com/team.php?q=376&team=Alliance","Alliance","","DIRE","","","56.12","18; -30"
"http://www.datdota.com/match.php?q=2191055532","2191055532","","03/01/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=376&team=Alliance","Alliance","","http://www.datdota.com/team.php?q=225&team=Liquid","Liquid","","DIRE","","","37.68","13; -30"
"http://www.datdota.com/match.php?q=2179423318","2179423318","","02/26/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1447&team=Fnatic.MY","Fnatic.MY","","http://www.datdota.com/team.php?q=376&team=Alliance","Alliance","","DIRE","","","50.4","17; -29"
"http://www.datdota.com/match.php?q=2179252492","2179252492","","02/26/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=376&team=Alliance","Alliance","","http://www.datdota.com/team.php?q=1447&team=Fnatic.MY","Fnatic.MY","","RADIANT","","","60.57","33; -21"
"http://www.datdota.com/match.php?q=2178739661","2178739661","","02/25/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=376&team=Alliance","Alliance","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","RADIANT","","","44.47","31; -27"
