match_link,match_link/_text,match_link/_title,date_value,tournament_link,tournament_link/_text,tournament_link/_title,tournament_link_prices,radiant_link,radiant_link/_text,radiant_link/_title,dire_link,dire_link/_text,dire_link/_title,winner_value,round_value,game_number,time_number,score_number
"http://www.datdota.com/match.php?q=2191757537","2191757537","","03/02/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=1792&team=Archon","Archon","","http://www.datdota.com/team.php?q=2&team=EHOME","EHOME","","DIRE","","","27.92","9; -29"
"http://www.datdota.com/match.php?q=2181519569","2181519569","","02/26/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=1102&team=Nb","Nb","","http://www.datdota.com/team.php?q=1792&team=Archon","Archon","","RADIANT","","","39.98","38; -14"
"http://www.datdota.com/match.php?q=2181387942","2181387942","","02/26/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=1792&team=Archon","Archon","","http://www.datdota.com/team.php?q=1102&team=Nb","Nb","","DIRE","","","46.6","23; -29"
"http://www.datdota.com/match.php?q=2181080385","2181080385","","02/26/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=1792&team=Archon","Archon","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","DIRE","","","41.52","23; -24"
"http://www.datdota.com/match.php?q=2181021263","2181021263","","02/26/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","http://www.datdota.com/team.php?q=1792&team=Archon","Archon","","RADIANT","","","24.52","23; -11"
"http://www.datdota.com/match.php?q=2154918475","2154918475","","02/15/16","http://www.datdota.com/tournament.php?q=537&tournament=ESL%20One%20Americas%20Qualifiers","ESL One Americas Qualifiers","","","http://www.datdota.com/team.php?q=1918&team=E.Wolves","E.Wolves","","http://www.datdota.com/team.php?q=1792&team=Archon","Archon","","RADIANT","","","82.98","45; -49"
"http://www.datdota.com/match.php?q=2154827205","2154827205","","02/15/16","http://www.datdota.com/tournament.php?q=537&tournament=ESL%20One%20Americas%20Qualifiers","ESL One Americas Qualifiers","","","http://www.datdota.com/team.php?q=1792&team=Archon","Archon","","http://www.datdota.com/team.php?q=1918&team=E.Wolves","E.Wolves","","DIRE","","","42.03","19; -41"
"http://www.datdota.com/match.php?q=2145285558","2145285558","","02/11/16","http://www.datdota.com/tournament.php?q=537&tournament=ESL%20One%20Americas%20Qualifiers","ESL One Americas Qualifiers","","","http://www.datdota.com/team.php?q=1792&team=Archon","Archon","","http://www.datdota.com/team.php?q=1994&team=PoF%202","PoF 2","","RADIANT","","","22.78","18; -17"
"http://www.datdota.com/match.php?q=2145235732","2145235732","","02/11/16","http://www.datdota.com/tournament.php?q=537&tournament=ESL%20One%20Americas%20Qualifiers","ESL One Americas Qualifiers","","","http://www.datdota.com/team.php?q=1792&team=Archon","Archon","","http://www.datdota.com/team.php?q=1994&team=PoF%202","PoF 2","","DIRE","","","29.15","7; -25"
"http://www.datdota.com/match.php?q=2145169626","2145169626","","02/11/16","http://www.datdota.com/tournament.php?q=537&tournament=ESL%20One%20Americas%20Qualifiers","ESL One Americas Qualifiers","","","http://www.datdota.com/team.php?q=1994&team=PoF%202","PoF 2","","http://www.datdota.com/team.php?q=1792&team=Archon","Archon","","DIRE","","","32.92","16; -29"
"http://www.datdota.com/match.php?q=2138469636","2138469636","","02/08/16","http://www.datdota.com/tournament.php?q=531&tournament=WePlay%203%20Americas%20Qualifiers","WePlay 3 Americas Qualifiers","","","http://www.datdota.com/team.php?q=1792&team=Archon","Archon","","http://www.datdota.com/team.php?q=1994&team=PoF%202","PoF 2","","RADIANT","","","15.47","13; -7"
"http://www.datdota.com/match.php?q=2126235336","2126235336","","02/03/16","http://www.datdota.com/tournament.php?q=531&tournament=WePlay%203%20Americas%20Qualifiers","WePlay 3 Americas Qualifiers","","","http://www.datdota.com/team.php?q=1792&team=Archon","Archon","","http://www.datdota.com/team.php?q=1896&team=DC","DC","","DIRE","","","14.82","2; -24"
"http://www.datdota.com/match.php?q=2097579074","2097579074","","01/22/16","http://www.datdota.com/tournament.php?q=531&tournament=WePlay%203%20Americas%20Qualifiers","WePlay 3 Americas Qualifiers","","","http://www.datdota.com/team.php?q=1792&team=Archon","Archon","","http://www.datdota.com/team.php?q=1978&team=Shazam","Shazam","","RADIANT","","","29.02","28; -16"
"http://www.datdota.com/match.php?q=2095244332","2095244332","","01/21/16","http://www.datdota.com/tournament.php?q=513&tournament=Canada%20Cup%206","Canada Cup 6","","6","http://www.datdota.com/team.php?q=1285&team=NoT","NoT","","http://www.datdota.com/team.php?q=1792&team=Archon","Archon","","RADIANT","","","29.88","37; -16"
"http://www.datdota.com/match.php?q=2092968926","2092968926","","01/20/16","http://www.datdota.com/tournament.php?q=531&tournament=WePlay%203%20Americas%20Qualifiers","WePlay 3 Americas Qualifiers","","","http://www.datdota.com/team.php?q=1918&team=E.Wolves","E.Wolves","","http://www.datdota.com/team.php?q=1792&team=Archon","Archon","","RADIANT","","","26.28","38; -17"
"http://www.datdota.com/match.php?q=2081392598","2081392598","","01/15/16","http://www.datdota.com/tournament.php?q=513&tournament=Canada%20Cup%206","Canada Cup 6","","6","http://www.datdota.com/team.php?q=1918&team=E.Wolves","E.Wolves","","http://www.datdota.com/team.php?q=1792&team=Archon","Archon","","RADIANT","UB Quarterfinals","3","34.72","27; -14"
"http://www.datdota.com/match.php?q=2081336560","2081336560","","01/15/16","http://www.datdota.com/tournament.php?q=513&tournament=Canada%20Cup%206","Canada Cup 6","","6","http://www.datdota.com/team.php?q=1918&team=E.Wolves","E.Wolves","","http://www.datdota.com/team.php?q=1792&team=Archon","Archon","","RADIANT","UB Quarterfinals","2","25.37","28; -10"
"http://www.datdota.com/match.php?q=2081269818","2081269818","","01/15/16","http://www.datdota.com/tournament.php?q=513&tournament=Canada%20Cup%206","Canada Cup 6","","6","http://www.datdota.com/team.php?q=1918&team=E.Wolves","E.Wolves","","http://www.datdota.com/team.php?q=1792&team=Archon","Archon","","DIRE","UB Quarterfinals","1","36.33","19; -30"
"http://www.datdota.com/match.php?q=2074730485","2074730485","","01/12/16","http://www.datdota.com/tournament.php?q=513&tournament=Canada%20Cup%206","Canada Cup 6","","6","http://www.datdota.com/team.php?q=1994&team=PoF%202","PoF 2","","http://www.datdota.com/team.php?q=1792&team=Archon","Archon","","DIRE","Tiebreaker","1","29.72","16; -23"
"http://www.datdota.com/match.php?q=2067842765","2067842765","","01/09/16","http://www.datdota.com/tournament.php?q=523&tournament=Shanghai%20Major%20Americas%20Qualifiers","Shanghai Major Americas Qualifiers","","","http://www.datdota.com/team.php?q=1792&team=Archon","Archon","","http://www.datdota.com/team.php?q=1896&team=DC","DC","","RADIANT","UB Finals","3","54.9","26; -13"
"http://www.datdota.com/match.php?q=2067783943","2067783943","","01/09/16","http://www.datdota.com/tournament.php?q=523&tournament=Shanghai%20Major%20Americas%20Qualifiers","Shanghai Major Americas Qualifiers","","","http://www.datdota.com/team.php?q=1792&team=Archon","Archon","","http://www.datdota.com/team.php?q=1896&team=DC","DC","","DIRE","UB Finals","2","18.85","5; -18"
"http://www.datdota.com/match.php?q=2067682924","2067682924","","01/09/16","http://www.datdota.com/tournament.php?q=523&tournament=Shanghai%20Major%20Americas%20Qualifiers","Shanghai Major Americas Qualifiers","","","http://www.datdota.com/team.php?q=1792&team=Archon","Archon","","http://www.datdota.com/team.php?q=1896&team=DC","DC","","RADIANT","UB Finals","1","57","26; -24"
"http://www.datdota.com/match.php?q=2067613703","2067613703","","01/09/16","http://www.datdota.com/tournament.php?q=523&tournament=Shanghai%20Major%20Americas%20Qualifiers","Shanghai Major Americas Qualifiers","","","http://www.datdota.com/team.php?q=1792&team=Archon","Archon","","http://www.datdota.com/team.php?q=1422&team=coL%202","coL 2","","RADIANT","UB Semifinals","3","25.78","25; -6"
"http://www.datdota.com/match.php?q=2067550774","2067550774","","01/09/16","http://www.datdota.com/tournament.php?q=523&tournament=Shanghai%20Major%20Americas%20Qualifiers","Shanghai Major Americas Qualifiers","","","http://www.datdota.com/team.php?q=1792&team=Archon","Archon","","http://www.datdota.com/team.php?q=1422&team=coL%202","coL 2","","DIRE","UB Semifinals","2","34.55","8; -25"
"http://www.datdota.com/match.php?q=2067328957","2067328957","","01/09/16","http://www.datdota.com/tournament.php?q=523&tournament=Shanghai%20Major%20Americas%20Qualifiers","Shanghai Major Americas Qualifiers","","","http://www.datdota.com/team.php?q=1792&team=Archon","Archon","","http://www.datdota.com/team.php?q=1422&team=coL%202","coL 2","","RADIANT","UB Semifinals","1","131.25","46; -44"
