match_link,match_link/_text,match_link/_title,date_value,tournament_link,tournament_link/_text,tournament_link/_title,tournament_link_prices,radiant_link,radiant_link/_text,radiant_link/_title,dire_link,dire_link/_text,dire_link/_title,winner_value,round_value,game_number,time_number,score_number
"http://www.datdota.com/match.php?q=2192542709","2192542709","","03/02/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=1102&team=Nb","Nb","","http://www.datdota.com/team.php?q=1242&team=CDEC","CDEC","","RADIANT","","","62.28","34; -23"
"http://www.datdota.com/match.php?q=2177005584","2177005584","","02/25/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=2&team=EHOME","EHOME","","http://www.datdota.com/team.php?q=1242&team=CDEC","CDEC","","RADIANT","","","46.75","33; -19"
"http://www.datdota.com/match.php?q=2176882495","2176882495","","02/24/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=1242&team=CDEC","CDEC","","http://www.datdota.com/team.php?q=2&team=EHOME","EHOME","","RADIANT","","","44.33","29; -19"
"http://www.datdota.com/match.php?q=2176744667","2176744667","","02/24/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=1242&team=CDEC","CDEC","","http://www.datdota.com/team.php?q=2&team=EHOME","EHOME","","DIRE","","","46.12","31; -46"
"http://www.datdota.com/match.php?q=2176618946","2176618946","","02/24/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=1409&team=Secret","Secret","","http://www.datdota.com/team.php?q=1242&team=CDEC","CDEC","","RADIANT","","","32.85","23; -14"
"http://www.datdota.com/match.php?q=2176559949","2176559949","","02/24/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=1242&team=CDEC","CDEC","","http://www.datdota.com/team.php?q=1409&team=Secret","Secret","","DIRE","","","24.45","6; -16"
"http://www.datdota.com/match.php?q=2176488482","2176488482","","02/24/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=1409&team=Secret","Secret","","http://www.datdota.com/team.php?q=1242&team=CDEC","CDEC","","DIRE","","","34.25","6; -22"
"http://www.datdota.com/match.php?q=2096694313","2096694313","","01/22/16","http://www.datdota.com/tournament.php?q=529&tournament=MarsTV%20League%202015%20China%20Qualifiers","MarsTV League 2015 China Qualifiers","","","http://www.datdota.com/team.php?q=1488&team=Newbee.Y","Newbee.Y","","http://www.datdota.com/team.php?q=1242&team=CDEC","CDEC","","RADIANT","LB Quarterfinals","2","36.18","18; -10"
"http://www.datdota.com/match.php?q=2096571723","2096571723","","01/22/16","http://www.datdota.com/tournament.php?q=529&tournament=MarsTV%20League%202015%20China%20Qualifiers","MarsTV League 2015 China Qualifiers","","","http://www.datdota.com/team.php?q=1242&team=CDEC","CDEC","","http://www.datdota.com/team.php?q=1488&team=Newbee.Y","Newbee.Y","","DIRE","LB Quarterfinals","1","25","9; -26"
"http://www.datdota.com/match.php?q=2093339609","2093339609","","01/20/16","http://www.datdota.com/tournament.php?q=529&tournament=MarsTV%20League%202015%20China%20Qualifiers","MarsTV League 2015 China Qualifiers","","","http://www.datdota.com/team.php?q=1242&team=CDEC","CDEC","","http://www.datdota.com/team.php?q=158&team=TongFu","TongFu","","DIRE","UB Semifinals","2","41.13","9; -19"
"http://www.datdota.com/match.php?q=2093284015","2093284015","","01/20/16","http://www.datdota.com/tournament.php?q=529&tournament=MarsTV%20League%202015%20China%20Qualifiers","MarsTV League 2015 China Qualifiers","","","http://www.datdota.com/team.php?q=158&team=TongFu","TongFu","","http://www.datdota.com/team.php?q=1242&team=CDEC","CDEC","","RADIANT","UB Semifinals","1","21.32","20; -3"
"http://www.datdota.com/match.php?q=2091175303","2091175303","","01/19/16","http://www.datdota.com/tournament.php?q=529&tournament=MarsTV%20League%202015%20China%20Qualifiers","MarsTV League 2015 China Qualifiers","","","http://www.datdota.com/team.php?q=1938&team=DW","DW","","http://www.datdota.com/team.php?q=1242&team=CDEC","CDEC","","DIRE","UB Quarterfinals","2","25.95","3; -19"
