match_link,match_link/_text,match_link/_title,date_value,tournament_link,tournament_link/_text,tournament_link/_title,tournament_link_prices,radiant_link,radiant_link/_text,radiant_link/_title,dire_link,dire_link/_text,dire_link/_title,winner_value,round_value,game_number,time_number,score_number
"http://www.datdota.com/match.php?q=2196501846","2196501846","","03/04/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=376&team=Alliance","Alliance","","http://www.datdota.com/team.php?q=1422&team=coL%202","coL 2","","DIRE","","","46.42","24; -29"
"http://www.datdota.com/match.php?q=2196306427","2196306427","","03/04/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=376&team=Alliance","Alliance","","http://www.datdota.com/team.php?q=1422&team=coL%202","coL 2","","DIRE","","","44.43","14; -24"
"http://www.datdota.com/match.php?q=2196139871","2196139871","","03/04/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=376&team=Alliance","Alliance","","http://www.datdota.com/team.php?q=1422&team=coL%202","coL 2","","RADIANT","","","50.8","35; -18"
"http://www.datdota.com/match.php?q=2193849107","2193849107","","03/03/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=14&team=LGD.cn","LGD.cn","","http://www.datdota.com/team.php?q=1422&team=coL%202","coL 2","","DIRE","","","43.42","18; -27"
"http://www.datdota.com/match.php?q=2192088670","2192088670","","03/02/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","http://www.datdota.com/team.php?q=1422&team=coL%202","coL 2","","DIRE","","","34.25","9; -35"
"http://www.datdota.com/match.php?q=2184275180","2184275180","","02/27/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=225&team=Liquid","Liquid","","http://www.datdota.com/team.php?q=1422&team=coL%202","coL 2","","RADIANT","","","27.9","25; -5"
"http://www.datdota.com/match.php?q=2184118645","2184118645","","02/27/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=1422&team=coL%202","coL 2","","http://www.datdota.com/team.php?q=225&team=Liquid","Liquid","","DIRE","","","40.43","24; -23"
"http://www.datdota.com/match.php?q=2183961604","2183961604","","02/27/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=1422&team=coL%202","coL 2","","http://www.datdota.com/team.php?q=66&team=EG","EG","","DIRE","","","34.07","8; -28"
"http://www.datdota.com/match.php?q=2183894124","2183894124","","02/27/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=1422&team=coL%202","coL 2","","http://www.datdota.com/team.php?q=66&team=EG","EG","","DIRE","","","22.4","3; -22"
"http://www.datdota.com/match.php?q=2183812156","2183812156","","02/27/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=66&team=EG","EG","","http://www.datdota.com/team.php?q=1422&team=coL%202","coL 2","","DIRE","","","41.93","18; -31"
