match_link,match_link/_text,match_link/_title,date_value,tournament_link,tournament_link/_text,tournament_link/_title,radiant_link,radiant_link/_text,radiant_link/_title,dire_link,dire_link/_text,dire_link/_title,winner_value,round_value,game_number,time_number,score_number
"http://www.datdota.com/match.php?q=2195950707","2195950707","","03/04/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1409&team=Secret","Secret","","http://www.datdota.com/team.php?q=66&team=EG","EG","","RADIANT","","","55.87","35; -24"
"http://www.datdota.com/match.php?q=2195854935","2195854935","","03/03/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1409&team=Secret","Secret","","http://www.datdota.com/team.php?q=66&team=EG","EG","","DIRE","","","24.3","6; -23"
"http://www.datdota.com/match.php?q=2195748703","2195748703","","03/03/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1409&team=Secret","Secret","","http://www.datdota.com/team.php?q=66&team=EG","EG","","RADIANT","","","40.18","24; -15"
"http://www.datdota.com/match.php?q=2193524509","2193524509","","03/02/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1447&team=Fnatic.MY","Fnatic.MY","","http://www.datdota.com/team.php?q=66&team=EG","EG","","DIRE","","","35.97","13; -44"
"http://www.datdota.com/match.php?q=2193441529","2193441529","","03/02/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1447&team=Fnatic.MY","Fnatic.MY","","http://www.datdota.com/team.php?q=66&team=EG","EG","","DIRE","","","36.73","7; -25"
"http://www.datdota.com/match.php?q=2184665045","2184665045","","02/28/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","http://www.datdota.com/team.php?q=66&team=EG","EG","","DIRE","","","45.85","33; -31"
"http://www.datdota.com/match.php?q=2184452141","2184452141","","02/27/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","http://www.datdota.com/team.php?q=66&team=EG","EG","","DIRE","","","51.82","20; -30"
"http://www.datdota.com/match.php?q=2183961604","2183961604","","02/27/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1422&team=coL%202","coL 2","","http://www.datdota.com/team.php?q=66&team=EG","EG","","DIRE","","","34.07","8; -28"
"http://www.datdota.com/match.php?q=2183894124","2183894124","","02/27/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1422&team=coL%202","coL 2","","http://www.datdota.com/team.php?q=66&team=EG","EG","","DIRE","","","22.4","3; -22"
"http://www.datdota.com/match.php?q=2183812156","2183812156","","02/27/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=66&team=EG","EG","","http://www.datdota.com/team.php?q=1422&team=coL%202","coL 2","","DIRE","","","41.93","18; -31"
"http://www.datdota.com/match.php?q=2118226357","2118226357","","01/31/16","http://www.datdota.com/tournament.php?q=535&tournament=MarsTV%20League%20Winter%202015%20Finals","MarsTV League Winter 2015 Finals","","http://www.datdota.com/team.php?q=66&team=EG","EG","","http://www.datdota.com/team.php?q=2&team=EHOME","EHOME","","DIRE","","","59.82","39; -36"
