match_link,match_link/_text,match_link/_title,date_value,tournament_link,tournament_link/_text,tournament_link/_title,tournament_link_prices,radiant_link,radiant_link/_text,radiant_link/_title,dire_link,dire_link/_text,dire_link/_title,winner_value,round_value,game_number,time_number,score_number
"http://www.datdota.com/match.php?q=2193658590","2193658590","","03/03/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=2&team=EHOME","EHOME","","http://www.datdota.com/team.php?q=376&team=Alliance","Alliance","","DIRE","","","54.78","17; -32"
"http://www.datdota.com/match.php?q=2191757537","2191757537","","03/02/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=1792&team=Archon","Archon","","http://www.datdota.com/team.php?q=2&team=EHOME","EHOME","","DIRE","","","27.92","9; -29"
"http://www.datdota.com/match.php?q=2177741136","2177741136","","02/25/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=2&team=EHOME","EHOME","","http://www.datdota.com/team.php?q=1409&team=Secret","Secret","","DIRE","","","34.53","6; -17"
"http://www.datdota.com/match.php?q=2177549858","2177549858","","02/25/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=2&team=EHOME","EHOME","","http://www.datdota.com/team.php?q=1409&team=Secret","Secret","","DIRE","","","40.67","16; -15"
"http://www.datdota.com/match.php?q=2177005584","2177005584","","02/25/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=2&team=EHOME","EHOME","","http://www.datdota.com/team.php?q=1242&team=CDEC","CDEC","","RADIANT","","","46.75","33; -19"
"http://www.datdota.com/match.php?q=2176882495","2176882495","","02/24/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=1242&team=CDEC","CDEC","","http://www.datdota.com/team.php?q=2&team=EHOME","EHOME","","RADIANT","","","44.33","29; -19"
"http://www.datdota.com/match.php?q=2176744667","2176744667","","02/24/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=1242&team=CDEC","CDEC","","http://www.datdota.com/team.php?q=2&team=EHOME","EHOME","","DIRE","","","46.12","31; -46"
"http://www.datdota.com/match.php?q=2176558984","2176558984","","02/24/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=2&team=EHOME","EHOME","","http://www.datdota.com/team.php?q=917&team=MVP%20Phoenix","MVP Phoenix","","DIRE","","","30.23","10; -29"
"http://www.datdota.com/match.php?q=2176498930","2176498930","","02/24/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=2&team=EHOME","EHOME","","http://www.datdota.com/team.php?q=917&team=MVP%20Phoenix","MVP Phoenix","","DIRE","","","25.93","6; -23"
"http://www.datdota.com/match.php?q=2118226357","2118226357","","01/31/16","http://www.datdota.com/tournament.php?q=535&tournament=MarsTV%20League%20Winter%202015%20Finals","MarsTV League Winter 2015 Finals","","","http://www.datdota.com/team.php?q=66&team=EG","EG","","http://www.datdota.com/team.php?q=2&team=EHOME","EHOME","","DIRE","","","59.82","39; -36"
