match_link,match_link/_text,match_link/_title,date_value,tournament_link,tournament_link/_text,tournament_link/_title,tournament_link_prices,radiant_link,radiant_link/_text,radiant_link/_title,dire_link,dire_link/_text,dire_link/_title,winner_value,round_value,game_number,time_number,score_number
"http://www.datdota.com/match.php?q=2193849107","2193849107","","03/03/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=14&team=LGD.cn","LGD.cn","","http://www.datdota.com/team.php?q=1422&team=coL%202","coL 2","","DIRE","","","43.42","18; -27"
"http://www.datdota.com/match.php?q=2191531548","2191531548","","03/02/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=14&team=LGD.cn","LGD.cn","","http://www.datdota.com/team.php?q=917&team=MVP%20Phoenix","MVP Phoenix","","DIRE","","","27.03","14; -25"
"http://www.datdota.com/match.php?q=2191441268","2191441268","","03/02/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=917&team=MVP%20Phoenix","MVP Phoenix","","http://www.datdota.com/team.php?q=14&team=LGD.cn","LGD.cn","","RADIANT","","","23.27","18; -4"
"http://www.datdota.com/match.php?q=2182565525","2182565525","","02/27/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=14&team=LGD.cn","LGD.cn","","http://www.datdota.com/team.php?q=1102&team=Nb","Nb","","RADIANT","","","28.43","25; -11"
"http://www.datdota.com/match.php?q=2182314158","2182314158","","02/27/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=1102&team=Nb","Nb","","http://www.datdota.com/team.php?q=14&team=LGD.cn","LGD.cn","","DIRE","","","58.62","7; -25"
"http://www.datdota.com/match.php?q=2182047120","2182047120","","02/27/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","http://www.datdota.com/team.php?q=14&team=LGD.cn","LGD.cn","","RADIANT","","","39.37","25; -23"
"http://www.datdota.com/match.php?q=2181823003","2181823003","","02/27/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=14&team=LGD.cn","LGD.cn","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","RADIANT","","","75.78","35; -31"
"http://www.datdota.com/match.php?q=2181696818","2181696818","","02/27/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=14&team=LGD.cn","LGD.cn","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","DIRE","","","31.72","8; -28"
"http://www.datdota.com/match.php?q=2181195992","2181195992","","02/26/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=1102&team=Nb","Nb","","http://www.datdota.com/team.php?q=14&team=LGD.cn","LGD.cn","","DIRE","","","52.15","15; -25"
"http://www.datdota.com/match.php?q=2181130001","2181130001","","02/26/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=1102&team=Nb","Nb","","http://www.datdota.com/team.php?q=14&team=LGD.cn","LGD.cn","","RADIANT","","","21.03","27; -9"
"http://www.datdota.com/match.php?q=2181038082","2181038082","","02/26/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=14&team=LGD.cn","LGD.cn","","http://www.datdota.com/team.php?q=1102&team=Nb","Nb","","RADIANT","","","43.32","34; -16"
"http://www.datdota.com/match.php?q=2116001889","2116001889","","01/30/16","http://www.datdota.com/tournament.php?q=535&tournament=MarsTV%20League%20Winter%202015%20Finals","MarsTV League Winter 2015 Finals","","","http://www.datdota.com/team.php?q=66&team=EG","EG","","http://www.datdota.com/team.php?q=14&team=LGD.cn","LGD.cn","","RADIANT","","","23.57","28; -8"
"http://www.datdota.com/match.php?q=2115832770","2115832770","","01/30/16","http://www.datdota.com/tournament.php?q=535&tournament=MarsTV%20League%20Winter%202015%20Finals","MarsTV League Winter 2015 Finals","","","http://www.datdota.com/team.php?q=66&team=EG","EG","","http://www.datdota.com/team.php?q=14&team=LGD.cn","LGD.cn","","DIRE","","","40.73","18; -27"
"http://www.datdota.com/match.php?q=2115601185","2115601185","","01/30/16","http://www.datdota.com/tournament.php?q=535&tournament=MarsTV%20League%20Winter%202015%20Finals","MarsTV League Winter 2015 Finals","","","http://www.datdota.com/team.php?q=14&team=LGD.cn","LGD.cn","","http://www.datdota.com/team.php?q=66&team=EG","EG","","DIRE","","","50.42","17; -24"
"http://www.datdota.com/match.php?q=2114856246","2114856246","","01/30/16","http://www.datdota.com/tournament.php?q=535&tournament=MarsTV%20League%20Winter%202015%20Finals","MarsTV League Winter 2015 Finals","","","http://www.datdota.com/team.php?q=14&team=LGD.cn","LGD.cn","","http://www.datdota.com/team.php?q=1102&team=Nb","Nb","","RADIANT","","","30.42","24; -9"
