match_link,match_link/_text,match_link/_title,date_value,tournament_link,tournament_link/_text,tournament_link/_title,radiant_link,radiant_link/_text,radiant_link/_title,dire_link,dire_link/_text,dire_link/_title,winner_value,round_value,game_number,time_number,score_number
"http://www.datdota.com/match.php?q=2195617106","2195617106","","03/03/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=917&team=MVP%20Phoenix","MVP Phoenix","","http://www.datdota.com/team.php?q=225&team=Liquid","Liquid","","DIRE","","","43.42","19; -33"
"http://www.datdota.com/match.php?q=2195561641","2195561641","","03/03/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=225&team=Liquid","Liquid","","http://www.datdota.com/team.php?q=917&team=MVP%20Phoenix","MVP Phoenix","","RADIANT","","","17.42","20; -5"
"http://www.datdota.com/match.php?q=2191243186","2191243186","","03/01/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=225&team=Liquid","Liquid","","http://www.datdota.com/team.php?q=376&team=Alliance","Alliance","","RADIANT","","","44.7","33; -15"
"http://www.datdota.com/match.php?q=2191144529","2191144529","","03/01/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=225&team=Liquid","Liquid","","http://www.datdota.com/team.php?q=376&team=Alliance","Alliance","","DIRE","","","56.12","18; -30"
"http://www.datdota.com/match.php?q=2191055532","2191055532","","03/01/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=376&team=Alliance","Alliance","","http://www.datdota.com/team.php?q=225&team=Liquid","Liquid","","DIRE","","","37.68","13; -30"
"http://www.datdota.com/match.php?q=2185060254","2185060254","","02/28/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=225&team=Liquid","Liquid","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","RADIANT","","","38.32","36; -22"
"http://www.datdota.com/match.php?q=2184910779","2184910779","","02/28/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","http://www.datdota.com/team.php?q=225&team=Liquid","Liquid","","DIRE","","","28.48","8; -27"
"http://www.datdota.com/match.php?q=2184275180","2184275180","","02/27/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=225&team=Liquid","Liquid","","http://www.datdota.com/team.php?q=1422&team=coL%202","coL 2","","RADIANT","","","27.9","25; -5"
"http://www.datdota.com/match.php?q=2184118645","2184118645","","02/27/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1422&team=coL%202","coL 2","","http://www.datdota.com/team.php?q=225&team=Liquid","Liquid","","DIRE","","","40.43","24; -23"
"http://www.datdota.com/match.php?q=2183947071","2183947071","","02/27/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=225&team=Liquid","Liquid","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","DIRE","","","35.2","15; -23"
