match_link,match_link/_text,match_link/_title,date_value,tournament_link,tournament_link/_text,tournament_link/_title,radiant_link,radiant_link/_text,radiant_link/_title,dire_link,dire_link/_text,dire_link/_title,winner_value,round_value,game_number,time_number,score_number
"http://www.datdota.com/match.php?q=2195617106","2195617106","","03/03/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=917&team=MVP%20Phoenix","MVP Phoenix","","http://www.datdota.com/team.php?q=225&team=Liquid","Liquid","","DIRE","","","43.42","19; -33"
"http://www.datdota.com/match.php?q=2195561641","2195561641","","03/03/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=225&team=Liquid","Liquid","","http://www.datdota.com/team.php?q=917&team=MVP%20Phoenix","MVP Phoenix","","RADIANT","","","17.42","20; -5"
"http://www.datdota.com/match.php?q=2191531548","2191531548","","03/02/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=14&team=LGD.cn","LGD.cn","","http://www.datdota.com/team.php?q=917&team=MVP%20Phoenix","MVP Phoenix","","DIRE","","","27.03","14; -25"
"http://www.datdota.com/match.php?q=2191441268","2191441268","","03/02/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=917&team=MVP%20Phoenix","MVP Phoenix","","http://www.datdota.com/team.php?q=14&team=LGD.cn","LGD.cn","","RADIANT","","","23.27","18; -4"
"http://www.datdota.com/match.php?q=2177257309","2177257309","","02/25/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=917&team=MVP%20Phoenix","MVP Phoenix","","http://www.datdota.com/team.php?q=1409&team=Secret","Secret","","RADIANT","","","24.03","21; -15"
"http://www.datdota.com/match.php?q=2177171063","2177171063","","02/25/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1409&team=Secret","Secret","","http://www.datdota.com/team.php?q=917&team=MVP%20Phoenix","MVP Phoenix","","DIRE","","","18.57","4; -22"
"http://www.datdota.com/match.php?q=2176558984","2176558984","","02/24/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=2&team=EHOME","EHOME","","http://www.datdota.com/team.php?q=917&team=MVP%20Phoenix","MVP Phoenix","","DIRE","","","30.23","10; -29"
"http://www.datdota.com/match.php?q=2176498930","2176498930","","02/24/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=2&team=EHOME","EHOME","","http://www.datdota.com/team.php?q=917&team=MVP%20Phoenix","MVP Phoenix","","DIRE","","","25.93","6; -23"
"http://www.datdota.com/match.php?q=2146691699","2146691699","","02/12/16","http://www.datdota.com/tournament.php?q=533&tournament=WePlay%203%20SEA%20Qualifiers","WePlay 3 SEA Qualifiers","","http://www.datdota.com/team.php?q=917&team=MVP%20Phoenix","MVP Phoenix","","http://www.datdota.com/team.php?q=105&team=Mineski","Mineski","","RADIANT","","","19.75","23; -1"
"http://www.datdota.com/match.php?q=2130041372","2130041372","","02/05/16","http://www.datdota.com/tournament.php?q=533&tournament=WePlay%203%20SEA%20Qualifiers","WePlay 3 SEA Qualifiers","","http://www.datdota.com/team.php?q=1757&team=Redeem","Redeem","","http://www.datdota.com/team.php?q=917&team=MVP%20Phoenix","MVP Phoenix","","RADIANT","","","31.48","37; -15"
