match_link,match_link/_text,match_link/_title,date_value,tournament_link,tournament_link/_text,tournament_link/_title,radiant_link,radiant_link/_text,radiant_link/_title,dire_link,dire_link/_text,dire_link/_title,winner_value,round_value,game_number,time_number,score_number
"http://www.datdota.com/match.php?q=2194067318","2194067318","","03/03/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","RADIANT","","","40.15","28; -15"
"http://www.datdota.com/match.php?q=2193321592","2193321592","","03/02/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","http://www.datdota.com/team.php?q=1409&team=Secret","Secret","","DIRE","","","40.72","9; -16"
"http://www.datdota.com/match.php?q=2193255935","2193255935","","03/02/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1409&team=Secret","Secret","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","RADIANT","","","35.77","31; -11"
"http://www.datdota.com/match.php?q=2193199056","2193199056","","03/02/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","http://www.datdota.com/team.php?q=1409&team=Secret","Secret","","RADIANT","","","27.05","16; -17"
"http://www.datdota.com/match.php?q=2182047120","2182047120","","02/27/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","http://www.datdota.com/team.php?q=14&team=LGD.cn","LGD.cn","","RADIANT","","","39.37","25; -23"
"http://www.datdota.com/match.php?q=2181823003","2181823003","","02/27/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=14&team=LGD.cn","LGD.cn","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","RADIANT","","","75.78","35; -31"
"http://www.datdota.com/match.php?q=2181696818","2181696818","","02/27/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=14&team=LGD.cn","LGD.cn","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","DIRE","","","31.72","8; -28"
"http://www.datdota.com/match.php?q=2181080385","2181080385","","02/26/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1792&team=Archon","Archon","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","DIRE","","","41.52","23; -24"
"http://www.datdota.com/match.php?q=2181021263","2181021263","","02/26/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","http://www.datdota.com/team.php?q=1792&team=Archon","Archon","","RADIANT","","","24.52","23; -11"
"http://www.datdota.com/match.php?q=2117469845","2117469845","","01/30/16","http://www.datdota.com/tournament.php?q=535&tournament=MarsTV%20League%20Winter%202015%20Finals","MarsTV League Winter 2015 Finals","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","http://www.datdota.com/team.php?q=66&team=EG","EG","","DIRE","","","26.97","6; -35"
"http://www.datdota.com/match.php?q=2117383841","2117383841","","01/30/16","http://www.datdota.com/tournament.php?q=535&tournament=MarsTV%20League%20Winter%202015%20Finals","MarsTV League Winter 2015 Finals","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","http://www.datdota.com/team.php?q=66&team=EG","EG","","DIRE","","","22.37","1; -22"
"http://www.datdota.com/match.php?q=2115403451","2115403451","","01/30/16","http://www.datdota.com/tournament.php?q=535&tournament=MarsTV%20League%20Winter%202015%20Finals","MarsTV League Winter 2015 Finals","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","http://www.datdota.com/team.php?q=2&team=EHOME","EHOME","","DIRE","","","21.8","8; -21"
"http://www.datdota.com/match.php?q=2115207703","2115207703","","01/30/16","http://www.datdota.com/tournament.php?q=535&tournament=MarsTV%20League%20Winter%202015%20Finals","MarsTV League Winter 2015 Finals","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","http://www.datdota.com/team.php?q=2&team=EHOME","EHOME","","RADIANT","","","50.62","28; -21"
"http://www.datdota.com/match.php?q=2115065683","2115065683","","01/30/16","http://www.datdota.com/tournament.php?q=535&tournament=MarsTV%20League%20Winter%202015%20Finals","MarsTV League Winter 2015 Finals","","http://www.datdota.com/team.php?q=2&team=EHOME","EHOME","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","RADIANT","","","30.6","19; -13"
"http://www.datdota.com/match.php?q=2112955180","2112955180","","01/29/16","http://www.datdota.com/tournament.php?q=535&tournament=MarsTV%20League%20Winter%202015%20Finals","MarsTV League Winter 2015 Finals","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","http://www.datdota.com/team.php?q=14&team=LGD.cn","LGD.cn","","RADIANT","","","64.3","13; -16"
"http://www.datdota.com/match.php?q=2112812155","2112812155","","01/29/16","http://www.datdota.com/tournament.php?q=535&tournament=MarsTV%20League%20Winter%202015%20Finals","MarsTV League Winter 2015 Finals","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","http://www.datdota.com/team.php?q=14&team=LGD.cn","LGD.cn","","RADIANT","","","26.15","22; -5"
"http://www.datdota.com/match.php?q=2110775831","2110775831","","01/28/16","http://www.datdota.com/tournament.php?q=535&tournament=MarsTV%20League%20Winter%202015%20Finals","MarsTV League Winter 2015 Finals","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","http://www.datdota.com/team.php?q=1409&team=Secret","Secret","","RADIANT","","","16.68","16; -4"
"http://www.datdota.com/match.php?q=2110583807","2110583807","","01/28/16","http://www.datdota.com/tournament.php?q=535&tournament=MarsTV%20League%20Winter%202015%20Finals","MarsTV League Winter 2015 Finals","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","http://www.datdota.com/team.php?q=1409&team=Secret","Secret","","RADIANT","","","44.83","24; -16"
