match_link,match_link/_text,match_link/_title,date_value,tournament_link,tournament_link/_text,tournament_link/_title,radiant_link,radiant_link/_text,radiant_link/_title,dire_link,dire_link/_text,dire_link/_title,winner_value,round_value,game_number,time_number,score_number
"http://www.datdota.com/match.php?q=2192088670","2192088670","","03/02/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","http://www.datdota.com/team.php?q=1422&team=coL%202","coL 2","","DIRE","","","34.25","9; -35"
"http://www.datdota.com/match.php?q=2180068537","2180068537","","02/26/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1447&team=Fnatic.MY","Fnatic.MY","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","RADIANT","","","41.92","33; -21"
"http://www.datdota.com/match.php?q=2179855075","2179855075","","02/26/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","http://www.datdota.com/team.php?q=1447&team=Fnatic.MY","Fnatic.MY","","DIRE","","","31.23","11; -25"
"http://www.datdota.com/match.php?q=2179624943","2179624943","","02/26/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1447&team=Fnatic.MY","Fnatic.MY","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","DIRE","","","54.88","32; -44"
"http://www.datdota.com/match.php?q=2179222246","2179222246","","02/26/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=240&team=VG","VG","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","DIRE","","","28.72","10; -24"
"http://www.datdota.com/match.php?q=2178970934","2178970934","","02/25/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=240&team=VG","VG","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","DIRE","","","32.75","11; -30"
"http://www.datdota.com/match.php?q=2178739661","2178739661","","02/25/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=376&team=Alliance","Alliance","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","RADIANT","","","44.47","31; -27"
"http://www.datdota.com/match.php?q=2178661580","2178661580","","02/25/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","http://www.datdota.com/team.php?q=376&team=Alliance","Alliance","","DIRE","","","36.57","16; -32"
"http://www.datdota.com/match.php?q=2159126237","2159126237","","02/17/16","http://www.datdota.com/tournament.php?q=532&tournament=WePlay%203%20EU%20Qualifiers","WePlay 3 EU Qualifiers","","http://www.datdota.com/team.php?q=1412&team=HR","HR","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","DIRE","","","26.17","10; -28"
"http://www.datdota.com/match.php?q=2158987415","2158987415","","02/17/16","http://www.datdota.com/tournament.php?q=532&tournament=WePlay%203%20EU%20Qualifiers","WePlay 3 EU Qualifiers","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","http://www.datdota.com/team.php?q=1926&team=FF","FF","","DIRE","","","42.05","15; -46"
"http://www.datdota.com/match.php?q=2158700627","2158700627","","02/17/16","http://www.datdota.com/tournament.php?q=532&tournament=WePlay%203%20EU%20Qualifiers","WePlay 3 EU Qualifiers","","http://www.datdota.com/team.php?q=1944&team=PD%202","PD 2","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","DIRE","","","33.18","16; -22"
"http://www.datdota.com/match.php?q=2157061866","2157061866","","02/16/16","http://www.datdota.com/tournament.php?q=532&tournament=WePlay%203%20EU%20Qualifiers","WePlay 3 EU Qualifiers","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","http://www.datdota.com/team.php?q=29&team=Empire","Empire","","RADIANT","","","29.62","32; -8"
"http://www.datdota.com/match.php?q=2156677318","2156677318","","02/16/16","http://www.datdota.com/tournament.php?q=532&tournament=WePlay%203%20EU%20Qualifiers","WePlay 3 EU Qualifiers","","http://www.datdota.com/team.php?q=1&team=NaVi","NaVi","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","DIRE","","","60.93","41; -59"
"http://www.datdota.com/match.php?q=2156516128","2156516128","","02/16/16","http://www.datdota.com/tournament.php?q=532&tournament=WePlay%203%20EU%20Qualifiers","WePlay 3 EU Qualifiers","","http://www.datdota.com/team.php?q=29&team=Empire","Empire","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","RADIANT","","","36.87","25; -14"
"http://www.datdota.com/match.php?q=2147422945","2147422945","","02/12/16","http://www.datdota.com/tournament.php?q=539&tournament=ESL%20One%20EU%20Qualifiers","ESL One EU Qualifiers","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","http://www.datdota.com/team.php?q=1531&team=LC","LC","","DIRE","","","25.35","15; -22"
"http://www.datdota.com/match.php?q=2142527819","2142527819","","02/10/16","http://www.datdota.com/tournament.php?q=532&tournament=WePlay%203%20EU%20Qualifiers","WePlay 3 EU Qualifiers","","http://www.datdota.com/team.php?q=1412&team=HR","HR","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","DIRE","","","40.73","32; -40"
"http://www.datdota.com/match.php?q=2140619101","2140619101","","02/09/16","http://www.datdota.com/tournament.php?q=516&tournament=Dota%20Pit%20League%20Season%204","Dota Pit League Season 4","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","http://www.datdota.com/team.php?q=1848&team=99","99","","RADIANT","","","18.7","32; -13"
"http://www.datdota.com/match.php?q=2140559679","2140559679","","02/09/16","http://www.datdota.com/tournament.php?q=516&tournament=Dota%20Pit%20League%20Season%204","Dota Pit League Season 4","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","http://www.datdota.com/team.php?q=1848&team=99","99","","RADIANT","","","22.68","21; -21"
"http://www.datdota.com/match.php?q=2137885726","2137885726","","02/08/16","http://www.datdota.com/tournament.php?q=532&tournament=WePlay%203%20EU%20Qualifiers","WePlay 3 EU Qualifiers","","http://www.datdota.com/team.php?q=131&team=Power%20Rangers","Power Rangers","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","DIRE","","","35.15","19; -21"
"http://www.datdota.com/match.php?q=2130818462","2130818462","","02/05/16","http://www.datdota.com/tournament.php?q=516&tournament=Dota%20Pit%20League%20Season%204","Dota Pit League Season 4","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","http://www.datdota.com/team.php?q=1531&team=LC","LC","","RADIANT","","","34.7","34; -16"
"http://www.datdota.com/match.php?q=2130751109","2130751109","","02/05/16","http://www.datdota.com/tournament.php?q=516&tournament=Dota%20Pit%20League%20Season%204","Dota Pit League Season 4","","http://www.datdota.com/team.php?q=1531&team=LC","LC","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","DIRE","","","18.73","3; -15"
"http://www.datdota.com/match.php?q=2128381185","2128381185","","02/04/16","http://www.datdota.com/tournament.php?q=516&tournament=Dota%20Pit%20League%20Season%204","Dota Pit League Season 4","","http://www.datdota.com/team.php?q=1&team=NaVi","NaVi","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","RADIANT","","","53.72","47; -22"
"http://www.datdota.com/match.php?q=2128285457","2128285457","","02/04/16","http://www.datdota.com/tournament.php?q=516&tournament=Dota%20Pit%20League%20Season%204","Dota Pit League Season 4","","http://www.datdota.com/team.php?q=1&team=NaVi","NaVi","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","RADIANT","","","41.88","55; -38"
"http://www.datdota.com/match.php?q=2126100455","2126100455","","02/03/16","http://www.datdota.com/tournament.php?q=516&tournament=Dota%20Pit%20League%20Season%204","Dota Pit League Season 4","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","http://www.datdota.com/team.php?q=1527&team=Vega","Vega","","DIRE","","","20.57","2; -17"
"http://www.datdota.com/match.php?q=2125994001","2125994001","","02/03/16","http://www.datdota.com/tournament.php?q=516&tournament=Dota%20Pit%20League%20Season%204","Dota Pit League Season 4","","http://www.datdota.com/team.php?q=1527&team=Vega","Vega","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","DIRE","","","49.22","29; -46"
