match_link,match_link/_text,match_link/_title,date_value,tournament_link,tournament_link/_text,tournament_link/_title,tournament_link_prices,radiant_link,radiant_link/_text,radiant_link/_title,dire_link,dire_link/_text,dire_link/_title,winner_value,round_value,game_number,time_number,score_number
"http://www.datdota.com/match.php?q=2192320439","2192320439","","03/02/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","http://www.datdota.com/team.php?q=240&team=VG","VG","","RADIANT","","","43.25","34; -10"
"http://www.datdota.com/match.php?q=2179222246","2179222246","","02/26/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=240&team=VG","VG","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","DIRE","","","28.72","10; -24"
"http://www.datdota.com/match.php?q=2178970934","2178970934","","02/25/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=240&team=VG","VG","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","DIRE","","","32.75","11; -30"
"http://www.datdota.com/match.php?q=2178853523","2178853523","","02/25/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=240&team=VG","VG","","http://www.datdota.com/team.php?q=1447&team=Fnatic.MY","Fnatic.MY","","DIRE","","","21.87","3; -16"
"http://www.datdota.com/match.php?q=2178782204","2178782204","","02/25/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=240&team=VG","VG","","http://www.datdota.com/team.php?q=1447&team=Fnatic.MY","Fnatic.MY","","RADIANT","","","34.9","26; -11"
"http://www.datdota.com/match.php?q=2178692811","2178692811","","02/25/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","","http://www.datdota.com/team.php?q=240&team=VG","VG","","http://www.datdota.com/team.php?q=1447&team=Fnatic.MY","Fnatic.MY","","DIRE","","","50.8","18; -26"
"http://www.datdota.com/match.php?q=2114485241","2114485241","","01/29/16","http://www.datdota.com/tournament.php?q=535&tournament=MarsTV%20League%20Winter%202015%20Finals","MarsTV League Winter 2015 Finals","","","http://www.datdota.com/team.php?q=240&team=VG","VG","","http://www.datdota.com/team.php?q=66&team=EG","EG","","DIRE","","","36.42","12; -21"
"http://www.datdota.com/match.php?q=2114390635","2114390635","","01/29/16","http://www.datdota.com/tournament.php?q=535&tournament=MarsTV%20League%20Winter%202015%20Finals","MarsTV League Winter 2015 Finals","","","http://www.datdota.com/team.php?q=240&team=VG","VG","","http://www.datdota.com/team.php?q=66&team=EG","EG","","RADIANT","","","38.43","34; -12"
"http://www.datdota.com/match.php?q=2114301791","2114301791","","01/29/16","http://www.datdota.com/tournament.php?q=535&tournament=MarsTV%20League%20Winter%202015%20Finals","MarsTV League Winter 2015 Finals","","","http://www.datdota.com/team.php?q=240&team=VG","VG","","http://www.datdota.com/team.php?q=66&team=EG","EG","","DIRE","","","46.3","25; -31"
"http://www.datdota.com/match.php?q=2112609850","2112609850","","01/29/16","http://www.datdota.com/tournament.php?q=535&tournament=MarsTV%20League%20Winter%202015%20Finals","MarsTV League Winter 2015 Finals","","","http://www.datdota.com/team.php?q=240&team=VG","VG","","http://www.datdota.com/team.php?q=2&team=EHOME","EHOME","","DIRE","","","17.57","9; -24"
"http://www.datdota.com/match.php?q=2112506909","2112506909","","01/29/16","http://www.datdota.com/tournament.php?q=535&tournament=MarsTV%20League%20Winter%202015%20Finals","MarsTV League Winter 2015 Finals","","","http://www.datdota.com/team.php?q=240&team=VG","VG","","http://www.datdota.com/team.php?q=2&team=EHOME","EHOME","","DIRE","","","19.97","5; -16"
"http://www.datdota.com/match.php?q=2109724816","2109724816","","01/27/16","http://www.datdota.com/tournament.php?q=535&tournament=MarsTV%20League%20Winter%202015%20Finals","MarsTV League Winter 2015 Finals","","","http://www.datdota.com/team.php?q=66&team=EG","EG","","http://www.datdota.com/team.php?q=240&team=VG","VG","","DIRE","","","34.5","14; -29"
"http://www.datdota.com/match.php?q=2109664389","2109664389","","01/27/16","http://www.datdota.com/tournament.php?q=535&tournament=MarsTV%20League%20Winter%202015%20Finals","MarsTV League Winter 2015 Finals","","","http://www.datdota.com/team.php?q=240&team=VG","VG","","http://www.datdota.com/team.php?q=66&team=EG","EG","","RADIANT","","","36.98","33; -16"
"http://www.datdota.com/match.php?q=2108392454","2108392454","","01/27/16","http://www.datdota.com/tournament.php?q=535&tournament=MarsTV%20League%20Winter%202015%20Finals","MarsTV League Winter 2015 Finals","","","http://www.datdota.com/team.php?q=240&team=VG","VG","","http://www.datdota.com/team.php?q=1959&team=TSpirit","TSpirit","","RADIANT","","","38.15","23; -25"
"http://www.datdota.com/match.php?q=2108218114","2108218114","","01/27/16","http://www.datdota.com/tournament.php?q=535&tournament=MarsTV%20League%20Winter%202015%20Finals","MarsTV League Winter 2015 Finals","","","http://www.datdota.com/team.php?q=240&team=VG","VG","","http://www.datdota.com/team.php?q=1102&team=Nb","Nb","","RADIANT","","","33.3","22; -24"
"http://www.datdota.com/match.php?q=2108085999","2108085999","","01/27/16","http://www.datdota.com/tournament.php?q=535&tournament=MarsTV%20League%20Winter%202015%20Finals","MarsTV League Winter 2015 Finals","","","http://www.datdota.com/team.php?q=1102&team=Nb","Nb","","http://www.datdota.com/team.php?q=240&team=VG","VG","","RADIANT","","","44.85","21; -15"
"http://www.datdota.com/match.php?q=2107740985","2107740985","","01/26/16","http://www.datdota.com/tournament.php?q=535&tournament=MarsTV%20League%20Winter%202015%20Finals","MarsTV League Winter 2015 Finals","","","http://www.datdota.com/team.php?q=240&team=VG","VG","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","RADIANT","","","37.93","27; -8"
"http://www.datdota.com/match.php?q=2107644923","2107644923","","01/26/16","http://www.datdota.com/tournament.php?q=535&tournament=MarsTV%20League%20Winter%202015%20Finals","MarsTV League Winter 2015 Finals","","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","http://www.datdota.com/team.php?q=240&team=VG","VG","","DIRE","","","41.82","13; -27"
"http://www.datdota.com/match.php?q=2033255399","2033255399","","12/27/15","http://www.datdota.com/tournament.php?q=524&tournament=Radiant%20Dire%20Cup%202015%20Finals","Radiant Dire Cup 2015 Finals","","2015","http://www.datdota.com/team.php?q=2&team=EHOME","EHOME","","http://www.datdota.com/team.php?q=240&team=VG","VG","","RADIANT","LB Finals","3","35.95","33; -12"
"http://www.datdota.com/match.php?q=2033137997","2033137997","","12/27/15","http://www.datdota.com/tournament.php?q=524&tournament=Radiant%20Dire%20Cup%202015%20Finals","Radiant Dire Cup 2015 Finals","","2015","http://www.datdota.com/team.php?q=240&team=VG","VG","","http://www.datdota.com/team.php?q=2&team=EHOME","EHOME","","DIRE","LB Finals","2","24.88","10; -24"
"http://www.datdota.com/match.php?q=2033006219","2033006219","","12/27/15","http://www.datdota.com/tournament.php?q=524&tournament=Radiant%20Dire%20Cup%202015%20Finals","Radiant Dire Cup 2015 Finals","","2015","http://www.datdota.com/team.php?q=2&team=EHOME","EHOME","","http://www.datdota.com/team.php?q=240&team=VG","VG","","DIRE","LB Finals","1","28.93","8; -19"
"http://www.datdota.com/match.php?q=2032776461","2032776461","","12/26/15","http://www.datdota.com/tournament.php?q=524&tournament=Radiant%20Dire%20Cup%202015%20Finals","Radiant Dire Cup 2015 Finals","","2015","http://www.datdota.com/team.php?q=240&team=VG","VG","","http://www.datdota.com/team.php?q=1974&team=CDEC.Y%202","CDEC.Y 2","","DIRE","UB Finals","3","60.45","18; -45"
"http://www.datdota.com/match.php?q=2032614329","2032614329","","12/26/15","http://www.datdota.com/tournament.php?q=524&tournament=Radiant%20Dire%20Cup%202015%20Finals","Radiant Dire Cup 2015 Finals","","2015","http://www.datdota.com/team.php?q=1974&team=CDEC.Y%202","CDEC.Y 2","","http://www.datdota.com/team.php?q=240&team=VG","VG","","RADIANT","UB Finals","2","56.03","33; -25"
"http://www.datdota.com/match.php?q=2032505340","2032505340","","12/26/15","http://www.datdota.com/tournament.php?q=524&tournament=Radiant%20Dire%20Cup%202015%20Finals","Radiant Dire Cup 2015 Finals","","2015","http://www.datdota.com/team.php?q=240&team=VG","VG","","http://www.datdota.com/team.php?q=1974&team=CDEC.Y%202","CDEC.Y 2","","RADIANT","UB Finals","1","35.67","30; -23"
"http://www.datdota.com/match.php?q=2029688671","2029688671","","12/25/15","http://www.datdota.com/tournament.php?q=524&tournament=Radiant%20Dire%20Cup%202015%20Finals","Radiant Dire Cup 2015 Finals","","2015","http://www.datdota.com/team.php?q=240&team=VG","VG","","http://www.datdota.com/team.php?q=14&team=LGD.cn","LGD.cn","","RADIANT","UB Semifinals","2","36.53","26; -16"
"http://www.datdota.com/match.php?q=2029612992","2029612992","","12/25/15","http://www.datdota.com/tournament.php?q=524&tournament=Radiant%20Dire%20Cup%202015%20Finals","Radiant Dire Cup 2015 Finals","","2015","http://www.datdota.com/team.php?q=14&team=LGD.cn","LGD.cn","","http://www.datdota.com/team.php?q=240&team=VG","VG","","DIRE","UB Semifinals","1","41.4","12; -25"
"http://www.datdota.com/match.php?q=2027353779","2027353779","","12/24/15","http://www.datdota.com/tournament.php?q=524&tournament=Radiant%20Dire%20Cup%202015%20Finals","Radiant Dire Cup 2015 Finals","","2015","http://www.datdota.com/team.php?q=240&team=VG","VG","","http://www.datdota.com/team.php?q=1488&team=Newbee.Y","Newbee.Y","","RADIANT","UB Quarterfinals","2","45.75","43; -34"
"http://www.datdota.com/match.php?q=2027263838","2027263838","","12/24/15","http://www.datdota.com/tournament.php?q=524&tournament=Radiant%20Dire%20Cup%202015%20Finals","Radiant Dire Cup 2015 Finals","","2015","http://www.datdota.com/team.php?q=1488&team=Newbee.Y","Newbee.Y","","http://www.datdota.com/team.php?q=240&team=VG","VG","","DIRE","UB Quarterfinals","1","40.63","10; -30"
"http://www.datdota.com/match.php?q=2000762142","2000762142","","12/13/15","http://www.datdota.com/tournament.php?q=493&tournament=The%20Summit%204","The Summit 4","","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","http://www.datdota.com/team.php?q=240&team=VG","VG","","RADIANT","LB Finals","2","25.35","25; -11"
"http://www.datdota.com/match.php?q=2000678327","2000678327","","12/13/15","http://www.datdota.com/tournament.php?q=493&tournament=The%20Summit%204","The Summit 4","","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","http://www.datdota.com/team.php?q=240&team=VG","VG","","RADIANT","LB Finals","1","23.07","29; -6"
"http://www.datdota.com/match.php?q=1995989266","1995989266","","12/11/15","http://www.datdota.com/tournament.php?q=493&tournament=The%20Summit%204","The Summit 4","","","http://www.datdota.com/team.php?q=66&team=EG","EG","","http://www.datdota.com/team.php?q=240&team=VG","VG","","RADIANT","UB Finals","3","23.65","19; -9"
"http://www.datdota.com/match.php?q=1995917878","1995917878","","12/11/15","http://www.datdota.com/tournament.php?q=493&tournament=The%20Summit%204","The Summit 4","","","http://www.datdota.com/team.php?q=66&team=EG","EG","","http://www.datdota.com/team.php?q=240&team=VG","VG","","DIRE","UB Finals","2","44.67","16; -35"
"http://www.datdota.com/match.php?q=1995874559","1995874559","","12/11/15","http://www.datdota.com/tournament.php?q=493&tournament=The%20Summit%204","The Summit 4","","","http://www.datdota.com/team.php?q=66&team=EG","EG","","http://www.datdota.com/team.php?q=240&team=VG","VG","","RADIANT","UB Finals","1","22.52","21; -8"
"http://www.datdota.com/match.php?q=1991666142","1991666142","","12/09/15","http://www.datdota.com/tournament.php?q=493&tournament=The%20Summit%204","The Summit 4","","","http://www.datdota.com/team.php?q=240&team=VG","VG","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","RADIANT","UB Semifinals","3","29.92","26; -9"
"http://www.datdota.com/match.php?q=1991602467","1991602467","","12/09/15","http://www.datdota.com/tournament.php?q=493&tournament=The%20Summit%204","The Summit 4","","","http://www.datdota.com/team.php?q=240&team=VG","VG","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","DIRE","UB Semifinals","2","31.8","11; -23"
"http://www.datdota.com/match.php?q=1991532094","1991532094","","12/09/15","http://www.datdota.com/tournament.php?q=493&tournament=The%20Summit%204","The Summit 4","","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","http://www.datdota.com/team.php?q=240&team=VG","VG","","DIRE","UB Semifinals","1","49.43","29; -34"
"http://www.datdota.com/match.php?q=1991426957","1991426957","","12/09/15","http://www.datdota.com/tournament.php?q=493&tournament=The%20Summit%204","The Summit 4","","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","http://www.datdota.com/team.php?q=240&team=VG","VG","","DIRE","UB Quarterfinals","3","71.15","38; -52"
"http://www.datdota.com/match.php?q=1991371320","1991371320","","12/09/15","http://www.datdota.com/tournament.php?q=493&tournament=The%20Summit%204","The Summit 4","","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","http://www.datdota.com/team.php?q=240&team=VG","VG","","DIRE","UB Quarterfinals","2","31.42","24; -34"
