match_link,match_link/_text,match_link/_title,date_value,tournament_link,tournament_link/_text,tournament_link/_title,radiant_link,radiant_link/_text,radiant_link/_title,dire_link,dire_link/_text,dire_link/_title,winner_value,round_value,game_number,time_number,score_number
"http://www.datdota.com/match.php?q=2194067318","2194067318","","03/03/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","RADIANT","","","40.15","28; -15"
"http://www.datdota.com/match.php?q=2192320439","2192320439","","03/02/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","http://www.datdota.com/team.php?q=240&team=VG","VG","","RADIANT","","","43.25","34; -10"
"http://www.datdota.com/match.php?q=2185060254","2185060254","","02/28/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=225&team=Liquid","Liquid","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","RADIANT","","","38.32","36; -22"
"http://www.datdota.com/match.php?q=2184910779","2184910779","","02/28/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","http://www.datdota.com/team.php?q=225&team=Liquid","Liquid","","DIRE","","","28.48","8; -27"
"http://www.datdota.com/match.php?q=2184665045","2184665045","","02/28/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","http://www.datdota.com/team.php?q=66&team=EG","EG","","DIRE","","","45.85","33; -31"
"http://www.datdota.com/match.php?q=2184452141","2184452141","","02/27/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","http://www.datdota.com/team.php?q=66&team=EG","EG","","DIRE","","","51.82","20; -30"
"http://www.datdota.com/match.php?q=2183947071","2183947071","","02/27/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=225&team=Liquid","Liquid","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","DIRE","","","35.2","15; -23"
"http://www.datdota.com/match.php?q=2183857503","2183857503","","02/27/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","http://www.datdota.com/team.php?q=225&team=Liquid","Liquid","","RADIANT","","","37.75","26; -24"
"http://www.datdota.com/match.php?q=2183792909","2183792909","","02/27/16","http://www.datdota.com/tournament.php?q=525&tournament=Shanghai%20Major%20Finals","Shanghai Major Finals","","http://www.datdota.com/team.php?q=225&team=Liquid","Liquid","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","RADIANT","","","24.32","19; -6"
"http://www.datdota.com/match.php?q=2078130243","2078130243","","01/14/16","http://www.datdota.com/tournament.php?q=495&tournament=StarSeries%20i-League%2013","StarSeries i-League 13","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","http://www.datdota.com/team.php?q=1527&team=Vega","Vega","","DIRE","Group Stage","1","74.27","34; -42"
"http://www.datdota.com/match.php?q=2077929558","2077929558","","01/14/16","http://www.datdota.com/tournament.php?q=495&tournament=StarSeries%20i-League%2013","StarSeries i-League 13","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","http://www.datdota.com/team.php?q=225&team=Liquid","Liquid","","DIRE","Group Stage","1","33.77","16; -43"
"http://www.datdota.com/match.php?q=2076416428","2076416428","","01/13/16","http://www.datdota.com/tournament.php?q=495&tournament=StarSeries%20i-League%2013","StarSeries i-League 13","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","http://www.datdota.com/team.php?q=1422&team=coL%202","coL 2","","RADIANT","Group Stage","1","26","37; -18"
"http://www.datdota.com/match.php?q=2076348113","2076348113","","01/13/16","http://www.datdota.com/tournament.php?q=495&tournament=StarSeries%20i-League%2013","StarSeries i-League 13","","http://www.datdota.com/team.php?q=1427&team=Wings","Wings","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","DIRE","Group Stage","1","18","7; -15"
"http://www.datdota.com/match.php?q=2075759693","2075759693","","01/13/16","http://www.datdota.com/tournament.php?q=495&tournament=StarSeries%20i-League%2013","StarSeries i-League 13","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","http://www.datdota.com/team.php?q=1409&team=Secret","Secret","","DIRE","Group Stage","1","67.87","29; -35"
"http://www.datdota.com/match.php?q=2001143037","2001143037","","12/13/15","http://www.datdota.com/tournament.php?q=493&tournament=The%20Summit%204","The Summit 4","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","http://www.datdota.com/team.php?q=66&team=EG","EG","","DIRE","Finals","5","50.78","24; -52"
"http://www.datdota.com/match.php?q=2001089587","2001089587","","12/13/15","http://www.datdota.com/tournament.php?q=493&tournament=The%20Summit%204","The Summit 4","","http://www.datdota.com/team.php?q=66&team=EG","EG","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","RADIANT","Finals","4","39.35","41; -20"
"http://www.datdota.com/match.php?q=2001032297","2001032297","","12/13/15","http://www.datdota.com/tournament.php?q=493&tournament=The%20Summit%204","The Summit 4","","http://www.datdota.com/team.php?q=66&team=EG","EG","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","RADIANT","Finals","3","39.88","36; -13"
"http://www.datdota.com/match.php?q=2000987764","2000987764","","12/13/15","http://www.datdota.com/tournament.php?q=493&tournament=The%20Summit%204","The Summit 4","","http://www.datdota.com/team.php?q=66&team=EG","EG","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","DIRE","Finals","2","24.08","20; -28"
"http://www.datdota.com/match.php?q=2000926804","2000926804","","12/13/15","http://www.datdota.com/tournament.php?q=493&tournament=The%20Summit%204","The Summit 4","","http://www.datdota.com/team.php?q=66&team=EG","EG","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","DIRE","Finals","1","32.82","14; -23"
"http://www.datdota.com/match.php?q=2000762142","2000762142","","12/13/15","http://www.datdota.com/tournament.php?q=493&tournament=The%20Summit%204","The Summit 4","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","http://www.datdota.com/team.php?q=240&team=VG","VG","","RADIANT","LB Finals","2","25.35","25; -11"
"http://www.datdota.com/match.php?q=2000678327","2000678327","","12/13/15","http://www.datdota.com/tournament.php?q=493&tournament=The%20Summit%204","The Summit 4","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","http://www.datdota.com/team.php?q=240&team=VG","VG","","RADIANT","LB Finals","1","23.07","29; -6"
"http://www.datdota.com/match.php?q=1998715126","1998715126","","12/12/15","http://www.datdota.com/tournament.php?q=493&tournament=The%20Summit%204","The Summit 4","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","RADIANT","LB Semifinals","2","31.83","36; -9"
"http://www.datdota.com/match.php?q=1998652203","1998652203","","12/12/15","http://www.datdota.com/tournament.php?q=493&tournament=The%20Summit%204","The Summit 4","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","http://www.datdota.com/team.php?q=1900&team=OG","OG","","RADIANT","LB Semifinals","1","36.2","33; -4"
"http://www.datdota.com/match.php?q=1998318531","1998318531","","12/12/15","http://www.datdota.com/tournament.php?q=493&tournament=The%20Summit%204","The Summit 4","","http://www.datdota.com/team.php?q=225&team=Liquid","Liquid","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","DIRE","LB Quarterfinals","3","27.75","17; -25"
"http://www.datdota.com/match.php?q=1998201818","1998201818","","12/12/15","http://www.datdota.com/tournament.php?q=493&tournament=The%20Summit%204","The Summit 4","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","http://www.datdota.com/team.php?q=225&team=Liquid","Liquid","","DIRE","LB Quarterfinals","2","38.75","25; -40"
"http://www.datdota.com/match.php?q=1998032937","1998032937","","12/12/15","http://www.datdota.com/tournament.php?q=493&tournament=The%20Summit%204","The Summit 4","","http://www.datdota.com/team.php?q=225&team=Liquid","Liquid","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","DIRE","LB Quarterfinals","1","52.78","27; -41"
"http://www.datdota.com/match.php?q=1995503349","1995503349","","12/11/15","http://www.datdota.com/tournament.php?q=493&tournament=The%20Summit%204","The Summit 4","","http://www.datdota.com/team.php?q=1440&team=VP%202","VP 2","","http://www.datdota.com/team.php?q=105&team=Mineski","Mineski","","RADIANT","LB Round of 16","2","21.35","26; -6"
