auc,fold,log_loss,method,skill
0.664658793704,0,0.649048422854,XGBoost,High
0.663731008152,1,0.649399767571,XGBoost,High
0.66377279221,2,0.649543254778,XGBoost,High
0.664422580032,3,0.648928848631,XGBoost,High
0.66410207048,4,0.649339323553,XGBoost,High
0.654332636274,0,0.654212011208,XGBoost,Very_High
0.653892173059,1,0.654373259952,XGBoost,Very_High
0.653591383812,2,0.654733525952,XGBoost,Very_High
0.653398386345,3,0.654700625361,XGBoost,Very_High
0.654277840014,4,0.654100995432,XGBoost,Very_High
0.701030739841,0,0.625550726803,XGBoost,Normal
0.701111881586,1,0.625635231264,XGBoost,Normal
0.700804562291,2,0.625691761316,XGBoost,Normal
0.701877820984,3,0.62512648238,XGBoost,Normal
0.700667233971,4,0.625864724942,XGBoost,Normal
